Breed,Average Adult Weight (M),Average Adult Weight (F)
Affenpinscher, 7-9 lbs, 7-9 lbs
Afghan Hound, 60 lbs, 50 lbs
Airedale Terrier, 55 lbs, 55 lbs
Akita, 85-130 lbs, 65-110 lbs
Alaskan Malamute, 85 lbs, 75 lbs
American Cocker Spaniel, 24-28 lbs, 24-28 lbs
American Eskimo Dog (Miniature), 11-20 lbs, 11-20 lbs
American Eskimo Dog (Standard), 20-40 lbs, 20-40 lbs
American Eskimo Dog (Toy), 6-10 lbs, 6-10 lbs
American Foxhound, 40-65 lbs, 40-65 lbs
American Staffordshire Terrier, 57-67 lbs, 57-67 lbs
American Water Spaniel, 30-45 lbs, 25-40 lbs
Anatolian Shepherd, 110-150 lbs, 80-120 lbs
Australian Cattle Dog, 35-45 lbs, 35-45 lbs
Australian Shepherd, 50-65 lbs, 40-55 lbs
Australian Terrier, 12-14 lbs, 12-14 lbs
Basenji, 24 lbs, 22 lbs
Basset Hound, 40-60 lbs, 40-60 lbs
Beagle, 18-30 lbs, 18-30 lbs
Bearded Collie, 45-55 lbs, 45-55 lbs
Beauceron, 65-85 lbs, 65-85 lbs
Bedlington Terrier, 17-23 lbs, 17-23 lbs
Belgian Malinois, 60-65 lbs, 60-65 lbs
Belgian Sheepdog, 55-75 lbs, 40-60 lbs
Belgian Tervuren, 55-65 lbs, 40-50 lbs
Bernese Mountain Dog, 90-120 lbs, 70-100 lbs
Bichon Frise, 11-16 lbs, 10-15 lbs
Black Russian Terrier, 80-145 lbs, 80-145 lbs
Black and Tan Coonhound, 55-75 lbs, 55-75 lbs
Bloodhound, 90-110 lbs, 80-100 lbs
Blue Heeler, 35-45 lbs, 35-45 lbs
Border Collie, 30-45 lbs, 30-45 lbs
Border Terrier, 13-16 lbs, 12-14 lbs
Borzoi, 75-105 lbs, 60-85 lbs
Boston Terrier, 10-25 lbs, 10-25 lbs
Bouvier des Flandres, 69-90 lbs, 69-90 lbs
Boxer, 65-80 lbs, 50-65 lbs
Briard, 75-100 lbs, 50-65 lbs
Brittany, 30-40 lbs, 30-40 lbs
Brussels Griffon, 8-10 lbs, 8-10 lbs
Bull Terrier, 60-70 lbs, 50-60 lbs
Bulldog, 50 lbs, 40 lbs
Bullmastiff, 110-130 lbs, 100-120 lbs
Cairn Terrier, 14 lbs, 13 lbs
Canaan Dog, 45-55 lbs, 35-45 lbs
Cane Corso, 99-110 lbs, 88-99 lbs
Cardigan Welsh Corgi, 30-38 lbs, 25-34 lbs
Cavalier King Charles Spaniel, 13-18 lbs, 13-18 lbs
Chesapeake Bay Retriever, 65-80 lbs, 55-70 lbs
Chihuahua, 3-8 lbs, 3-8 lbs
Chinese Crested Dog, 5-12 lbs, 5-12 lbs
Chinese Shar-Pei, 45-60 lbs, 45-60 lbs
Chow Chow, 45-70 lbs, 45-70 lbs
Clumber Spaniel, 70-85 lbs, 55-70 lbs
Cocker Spaniel, 24-34 lbs, 24-32 lbs
Collie, 60-75 lbs, 60-65 lbs
Corgi, 27-38 lbs, 25-34 lbs
Coton de Tulear, 11-14 lbs, 11-14 lbs
Curly-Coated Retriever, 60-70 lbs, 60-70 lbs
Dachshund (Miniature), 6-11 lbs, 6-11 lbs
Dachshund (Standard), 11-32 lbs, 11-32 lbs
Dalmatian, 40-60 lbs, 40-60 lbs
Dandie Dinmont Terrier, 18-24 lbs, 18-24 lbs
Doberman Pinscher, 65-90 lbs, 65-90 lbs
English Cocker Spaniel, 28-34 lbs, 26-32 lbs
English Foxhound, 55-75 lbs, 55-75 lbs
English Setter, 60-65 lbs, 50-55 lbs
English Springer Spaniel, 50 lbs, 40 lbs
English Toy Spaniel, 8-14 lbs, 8-14 lbs
Field Spaniel, 35-50 lbs, 35-50 lbs
Finnish Spitz, 31-36 lbs, 23-29 lbs
Flat-Coated Retriever, 60-70 lbs, 60-70 lbs
French Bulldog, 21-28 lbs, 21-28 lbs
German Pinscher, 25-35 lbs, 25-35 lbs
German Shepherd Dog, 75-95 lbs, 75-95 lbs
German Shorthaired Pointer, 55-70 lbs, 45-60 lbs
German Wirehaired Pointer, 45-75 lbs, 45-75 lbs
Giant Schnauzer, 65-90 lbs, 65-90 lbs
Glen of Imaal Terrier, 25-35 lbs, 25-35 lbs
Golden Retriever, 65-75 lbs, 55-65 lbs
Gordon Setter, 55-80 lbs, 45-70 lbs
Great Dane, 130-180 lbs, 100-150 lbs
Great Pyrenees, 115 lbs, 85-90 lbs
Greater Swiss Mountain Dog, 105-140 lbs, 85-110 lbs
Greyhound, 65-70 lbs, 60-65 lbs
Harrier, 45-60 lbs, 35-45 lbs
Havanese, 7-13 lbs, 7-13 lbs
Ibizan Hound, 50 lbs, 45 lbs
Irish Setter, 70 lbs, 60 lbs
Irish Terrier, 27 lbs, 25 lbs
Irish Water Spaniel, 55-65 lbs, 45-58 lbs
Irish Wolfhound, 100-120 lbs, 90-105 lbs
Italian Greyhound, 8-14 lbs, 8-14 lbs
Jack Russell Terrier, 13-17 lbs, 13-17 lbs
Japanese Chin, 4-7 lbs, 4-7 lbs
Keeshond, 45 lbs, 35 lbs
Kerry Blue Terrier, 33-40 lbs, 33-40 lbs
Komondor, 80 lbs, 70 lbs
Kuvasz, 100-115 lbs, 70-90 lbs
Labrador Retriever, 65-80 lbs, 55-70 lbs
Lakeland Terrier, 17 lbs, 17 lbs
Lhasa Apso, 13-15 lbs, 13-15 lbs
Lowchen, 8-18 lbs, 8-18 lbs
Maltese, 4-7 lbs, 4-7 lbs
Manchester Terrier (Standard), 12-22 lbs, 12-22 lbs
Manchester Terrier (Toy), 7-9 lbs, 7-9 lbs
Mastiff, 175-190 lbs, 175-190 lbs
Miniature Bull Terrier, 25-33 lbs, 25-33 lbs
Miniature Pinscher, 8-10 lbs, 8-10 lbs
Miniature Schnauzer, 13-15 lbs, 13-15 lbs
Neapolitan Mastiff, 150 lbs, 110 lbs
Newfoundland, 130-150 lbs, 100-120 lbs
Norfolk Terrier, 11-12 lbs, 11-12 lbs
Norwegian Elkhound, 55 lbs, 48 lbs
Norwich Terrier, 12 lbs, 12 lbs
Nova Scotia Duck Tolling Retriever, 45-52 lbs, 35-42 lbs
Old English Sheepdog, 70-90 lbs, 60-80 lbs
Otterhound, 115 lbs, 80 lbs
Papillon, 4-9 lbs, 4-9 lbs
Parson Russell Terrier, 13-17 lbs, 13-17 lbs
Pekingese, 8-14 lbs, 8-14 lbs
Pembroke Welsh Corgi, 27 lbs, 25 lbs
Petit Basset Griffon Vendeen, 25-35 lbs, 25-35 lbs
Pharaoh Hound, 45-55 lbs, 45-55 lbs
Pitbull, 57-67 lbs, 57-67 lbs
Plott, 50-60 lbs, 40-55 lbs
Pointer, 55-75 lbs, 45-65 lbs
Polish Lowland Sheepdog, 30-35 lbs, 30-35 lbs
Pomeranian, 3-7 lbs, 3-7 lbs
Poodle (Miniature), 12-18 lbs, 12-18 lbs
Poodle (Standard), 45-65 lbs, 45-65 lbs
Poodle (Toy), 5-8 lbs, 5-8 lbs
Portuguese Water Dog, 42-60 lbs, 35-50 lbs
Pug, 14-18 lbs, 14-18 lbs
Puli, 25-35 lbs, 25-35 lbs
Pumi, 21-35 lbs, 21-35 lbs
Rat Terrier, 8-18 lbs, 8-18 lbs
Redbone Coonhound, 45-65 lbs, 45-65 lbs
Rhodesian Ridgeback, 85 lbs, 70 lbs
Rottweiler, 85-135 lbs, 80-100 lbs
Saint Bernard, 120-200 lbs, 120-200 lbs
Saluki (or Gazelle Hound), 35-65 lbs, 35-65 lbs
Samoyed, 45-65 lbs, 35-50 lbs
Schipperke, 12-16 lbs, 10-14 lbs
Scottish Deerhound, 85-110 lbs, 75-95 lbs
Scottish Terrier, 19-22 lbs, 18-21 lbs
Sealyham Terrier, 23-24 lbs, 18-22 lbs
Shetland Sheepdog, 20 lbs, 20 lbs
Shiba Inu, 23 lbs, 17 lbs
Shih Tzu, 9-16 lbs, 9-16 lbs
Siberian Husky, 45-60 lbs, 35-50 lbs
Silky Terrier, 8-11 lbs, 8-11 lbs
Skye Terrier, 35-40 lbs, 25-30 lbs
Smooth Fox Terrier, 17-19 lbs, 15-17 lbs
Soft Coated Wheaten Terrier, 35-40 lbs, 30-35 lbs
Spinone Italiano, 71-82 lbs, 62-71 lbs
Staffordshire Bull Terrier, 35-40 lbs, 30-35 lbs
Standard Schnauzer, 40-45 lbs, 35-40 lbs
Sussex Spaniel, 35-45 lbs, 35-45 lbs
Tibetan Mastiff, 90-150 lbs, 80-110 lbs
Tibetan Spaniel, 9-15 lbs, 9-15 lbs
Tibetan Terrier, 20-24 lbs, 20-24 lbs
Toy Fox Terrier, 4-7 lbs, 4-7 lbs
Vizsla, 45-65 lbs, 45-65 lbs
Weimaraner, 55-90 lbs, 55-90 lbs
Welsh Springer Spaniel, 35-50 lbs, 35-50 lbs
Welsh Terrier, 20 lbs, 20 lbs
West Highland White Terrier, 15-21 lbs, 15-21 lbs
Whippet, 20-40 lbs, 20-40 lbs
Wire Fox Terrier, 17-19 lbs, 15-17 lbs
Wirehaired Pointing Griffon, 50-60 lbs, 50-60 lbs
Yorkshire Terrier (Yorkie), 5-7 lbs, 5-7 lbs
